ID,HOSPITALID,HOSPITALNAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,PHONE
82,82,Demo,16728 E. Smoky Hill Rd.,,Centennial,CO,80015,888-381-4858
83,83,Hampden - Demo,18890 E Hampden Ave,,Aurora,CO,80031,888-381-4858
84,84,Longmont - Demo,2144 N Main St Suite 8,,Longmont,CO,80501,888-381-4858
85,85,San Antonio Test Center Location,1338 E Glenn Drive,,Phoenix,AZ,85020,888-381-4858
86,86,DEACTIVATED Burien Occupational Medicine and Rehabilitation Clinic,"15500 1st Ave South, Suite 106",,Burien,WA,98148,Visits cannot be scheduled online right now.
87,87,DEACTIVATED Omni Medical Center,20 Watkins Park Drive,,Upper Marlboro,MD,20774,Visits cannot be scheduled online right now.
88,88,Roswell Urgent Care,"660 W. Crossville Rd., Ste. 110",,Roswell,GA,30075,Visits cannot be scheduled online right now.
89,89,Strong Ventures Urgent Care,2100 Sawtelle Blvd Suite 201,,Los Angeles,CA,90025,123-456-7890
90,90,Walk-in Clinic,501 S. Burma Ave.,,Gillette,WY,82716,307-688-9255
91,91,DEACTIVATED OKC - 23rd St,1918 NE 23rd St,,Oklahoma City,OK,73112,Visits cannot be scheduled online right now.
92,92,DEACTIVATED OKC - NW Expressway,3617 Northwest Expressway,,Oklahoma City,OK,73112,Visits cannot be scheduled online right now.
93,93,DEACTIVATED Del City,5300 SE 29th St,,Del City,OK,73115,Visits cannot be scheduled online right now.
94,94,DEACTIVATED OKC - Western,11601 South Western Ave,,Oklahoma City,OK,73170,Visits cannot be scheduled online right now.
95,95,DEACTIVATED Midwest City,9917 Southeast 15th Street,,Midwest City,OK,73130,Visits cannot be scheduled online right now.
96,96,DEACTIVATED OKC - North Rockwell,10701 North Rockwell Avenue,,Oklahoma City,OK,73162,Visits cannot be scheduled online right now.
97,97,DEACTIVATED Moore,2109 S. Santa Fe Avenue,,Moore,OK,73160,Visits cannot be scheduled online right now.
98,98,DEACTIVATED Edmond - N Penn,16205 N. Pennsylvania,,Edmond,OK,73013,Visits cannot be scheduled online right now.
99,99,DEACTIVATED Yukon - Mustang,301 South Mustang Road,,Yukon,OK,73099,Visits cannot be scheduled online right now.
100,100,DEACTIVATED Edmond - 15th St,46 East 15th Street,,Edmond,OK,73013,Visits cannot be scheduled online right now.
101,101,DEACTIVATED Newcastle/Tri-City,1000 Northwest 32nd Street,,Newcastle,OK,73065,Visits cannot be scheduled online right now.
102,102,DEACTIVATED Norman,334 12th Avenue Southeast,,Norman,OK,73071,Visits cannot be scheduled online right now.
103,103,AFC Urgent Care Denver - Cherry Creek,760 S. Colorado Blvd,,Denver,CO,80246,303-692-8000
104,104,The Emergency Clinic at Alamo Heights,6496 N New Braunfels Ave,,San Antonio,TX,78209,210-930-4500
105,105,The Healthcare Gallery (DEACTIVATED),"3488 Brentwood DR, STE 103",,Baton Rouge,LA,70809,Visits cannot be scheduled online right now.
106,106,DEACTIVATED Port Allen | Brusly Office,4451 Hwy 1 South,,Port Allen,LA,70767,Visits cannot be scheduled online right now.
107,107,DEACTIVATED Opelousas Office,5620 I-49 N. Service Rd. Suite 11,,Opelousas,LA,70570,Visits cannot be scheduled online right now.
108,108,DEACTIVATED Hoag Urgent Care – Tustin (DEACTIVATED),"2560 Bryan Avenue, Ste. A",,Tustin,CA,92780,Visits cannot be scheduled online right now.
109,109,Hoag Urgent Care – Orange (DEACTIVATED),7630 East Chapman Avenue,,Orange,CA,92869,Visits cannot be scheduled online right now.
110,110,Hoag Urgent Care – Huntington Harbour (DEACTIVATED),"5355 Warner Avenue, Ste. 102",,Huntington Beach,CA,92649,Visits cannot be scheduled online right now.
111,111,Hoag Urgent Care – Anaheim Hills (DEACTIVATED),"5630 East Santa Ana Canyon Rd, Ste 100",,Anaheim,CA,92807,Visits cannot be scheduled online right now.
112,112,Laguna Dana Urgent Care (DEACTIVATED),"24060 Camino Del Avion, Ste. A",,Dana Point,CA,92629,Visits cannot be scheduled online right now.
113,113,Partners Urgent Care – Grossmont (DEACTIVATED),6136 Lake Murray Boulevard,,La Mesa,CA,91942,Visits cannot be scheduled online right now.
114,114,Partners Urgent Care – Eastlake (DEACTIVATED),"2315 Otay Lakes Road, Ste. 306",,Chula Vista,CA,91914,Visits cannot be scheduled online right now.
115,115,Partners Urgent Care – UTC (DEACTIVATED),4085 Governor Drive,,San Diego,CA,92122,Visits cannot be scheduled online right now.
116,116,DEACTIVATED Cypress Urgent Care (DEACTIVATED),6876 Katella Avenue,,Cypress,CA,90630,Visits cannot be scheduled online right now.
117,117,Doctors Care - North Augusta,1520 Knox Avenue,,North Augusta,SC,29841,803-279-4120
118,118,Doctors Care - Aiken Mall,850 Aiken Mall Drive,,Aiken,SC,29803,803-648-1464
119,119,Doctors Care - North Aiken,1029 York Street NE,,Aiken,SC,29801,803-648-4119
120,120,Doctors Care - Little River,2250 Highway 17,,Little River,SC,29566,843-663-2220
121,121,Doctors Care - North Myrtle Beach,1714 Highway 17 South,,North Myrtle Beach,SC,29582,843-361-0705
122,122,Doctors Care - Strand,1221 21st Avenue North,,Myrtle Beach,SC,29577,843-626-9379
123,123,Doctors Care - Surfside,1600 Highway 17 North,,Surfside ,SC,29575,843-238-1461
124,124,Delana's Urgent Care,1300 Clifton Rd NE,,Atlanta,GA,30322,404-727-6270
125,125,Joseph's Urgent Care,1300 Clifton Rd NE,,Atlanta,GA,30322,404-727-6270
126,126,Minchoel's Urgent Care,1300 Clifton Rd NE,,Atlanta,GA,30322,Visits cannot be scheduled online right now.
127,127,Reynaldo's Urgent Care,1300 Clifton Rd NE,1300 Clifton Rd NE,Atlanta,GA,30322,404-727-6270
128,128,Yiming's Urgent Care,1300 Clifton Rd NE,,Atlanta,GA,30322,404-727-6270
129,129,ExpressCare - Wilkens,3815 Wilkens Avenue ,,Baltimore,MD,21229,667-212-5920
130,130,ExpressCare - Dundalk,1307 Merritt Blvd.,,Dundalk,MD,21222,410-288-2121
131,131,ExpressCare - Essex,1354 Eastern Blvd.,,Essex,MD,21221,443-231-5203
132,132,ExpressCare - Overlea,7700 Belair Road,,Baltimore,MD,21236,410-665-0670
133,133,ExpressCare - Owings Mills,10490 Owings Mills Blvd.,,Owings Mills,MD,21117,410-363-7281
134,134,ExpressCare - Padonia,9832 York Road,,Cockeysville,MD,21030,410-628-1861
135,135,ExpressCare - Parkville,7701 Harford Road,,Parkville,MD,21234,443-438-5147
136,136,ExpressCare - Westminster,1011 Baltimore Blvd.,,Westminster,MD,21157,410-848-3990
137,137,ExpressCare - Elkton,310 E. Pulaski Hwy.,,Elkton,MD,21921,443-485-6213
138,138,ExpressCare at Churchville Rd- Bel Air,1505 E. Churchville Road,,Bel Air,MD,21015,410-420-6970
139,139,ExpressCare - Festival at  Rt.24 Bel Air,5 Bel Air South Parkway Suite 1535,,Bel Air,MD,21015,410-569-0044
140,140,ExpressCare - Bowie,6000 Laurel Bowie Road,,Bowie,MD,20715,301-383-0330
141,141, ExpressCare - Brooklyn Park,5400 Ritchie Highway,,Brooklyn Park,MD,21225,443-586-3249
142,142,DEACTIVATED ExpressCare - Laurel,14700 Baltimore Ave Suite 108,,Laurel,MD,20707,Visits cannot be scheduled online right now.
143,143,ExpressCare - Salisbury,659 South Salisbury Blvd,,Salisbury,MD,21801,410-543-2020
144,144,West End Medical Center,501 Cetronia Road,,Allentown,PA,18104,484-426-2513
145,145,Wind Gap Medical Center,487 E. Moorestown Road,,Wind Gap,PA,18091,484-526-7850
146,146,Demo Grace Clinic,4515 Marsha Sharp Freeway,,Lubbock,TX,79407,Visits cannot be scheduled online right now.
147,147,ExpressCare - Eden Hill,"200 Banning Street, Suite 170",,Dover,DE,19904,302-674-1999
148,148,ExpressCare - Bear,1011 East Songsmith Dr,,Bear,DE,19701,302-918-7509
149,149,Atlanta Pediatric Therapy,6035 Peachtree Rd.,Ste. C-120,Doraville,GA,30360,Visits cannot be scheduled online right now.
150,150,NW Portland,25 NW 23rd Pl,,Portland,OR,97210,503-305-6262
151,151,Lake Oswego,17437 Boones Ferry Rd.,,Lake Oswego,OR,97035,503-305-6262
152,152,NE Portland,7033 NE Sandy Blvd,,Portland,OR,97213,503-305-6262
153,153,Brighton,2801 Purcell St,,Brighton,CO,80601,303-659-9700
154,154,ExpressCare at Andover Medical Center,323 Lowell St,,Andover,MA,01810,978-783-5000
155,155,Kaweah Delta Urgent Care on Court ,1633 S. Court St.,,Visalia,CA,93277,559-624-6090
156,156,DEACTIVATED Akers,820 S. Akers Suite 100,(in the Sequoia Medical Center),Visalia,CA,93277,Visits cannot be scheduled online right now.
157,157,DEACTIVATED Exceed Urgent Care,3725 Mall Lane,,Texarkana,TX,75501,Please contact the clinic via phone: (903) 730-6988
158,158,DEACTIVATED Webster Groves/Rock Hill,9556 Manchester Road,,St. Louis,MO,63119,Visits cannot be scheduled online right now.
159,159,DEACTIVATED Chesterfield,1737 Clarkson Road,,Chesterfield,MO,63017,Visits cannot be scheduled online right now.
160,160,DEACTIVATED Town and Country,13861 Manchester Road,,Town and Country,MO,63011,Visits cannot be scheduled online right now.
161,161,DEACTIVATED South County/Tesson,12616 Lamplighter Square,,St. Louis,MO,63128,Visits cannot be scheduled online right now.
162,162,DEACTIVATED St. Louis Hills,6900 Chippewa Street,,St. Louis,MO,63109,Visits cannot be scheduled online right now.
163,163,DEACTIVATED St. Charles,3871 Mexico Road,,St. Charles,MO,63303,Visits cannot be scheduled online right now.
164,164,Demo Pentucket Medical ,360 Merrimack St.,,Lawrence,MA,01843,978-557-8800
165,165,Clockwise.MD Demo,3423 Piedmont Road NE,,Atlanta,GA,30305,Visits cannot be scheduled online right now.
166,166,La Clinica West Medford,1307 W. Main St.,,Medford,OR,97501,541-618-1300
167,167,Children's at North Point,3795 Mansell Road,,Alpharetta,GA,30022,404-785-KIDS (5437)
168,168,Children's at Forsyth,410 Peachtree Parkway,Suite 300,Cumming,GA,30041,404-785-KIDS (5437)
169,169,Children's at Town Center,625 Big Shanty Road NW,,Kennesaw,GA,30144,404-785-KIDS (5437)
170,170,Immediate Clinic Training,13131 NE 85th St,,Kirkland,WA,98033,Visits cannot be scheduled online right now.
171,171,Marque - Aliso Viejo,26831 Aliso Creek Rd Suite 200,,Aliso Viejo,CA,92656,949-382-1909
172,172,Marque - Newport Beach,2075 San Joaquin Hills Road,,Newport Beach,CA,92660,949-760-9222
173,173,Marque - Rancho Santa Margarita,22461 Antonio Pkwy Suite 135,,Rancho Santa Margarita,CA,92688,949-207-3266
174,174,TeleMarque,TeleMarque,,,,,Visits cannot be scheduled online right now.
175,175,Med Center North,3909 McFarland Boulevard,,Northport,AL,35476,205-333-1993
176,176,Med Center South,5005 Oscar Baxter Drive,,Tuscaloosa,AL,35405,205-343-2225
177,177,Med Center Demopolis,705 Highway 80 West,,Demopolis,AL,36732,205-343-2225
178,178,DEACTIVATED Tucson - Pima,6238 E Pima St,,Tucson,AZ,85712,Visits cannot be scheduled online right now.
179,179,DEACTIVATED Tucson - Old Spanish Trail,9525 E Old Spanish Trail,,Tucson,AZ,85748,Visits cannot be scheduled online right now.
180,180,DEACTIVATED Tucson - Oracle,4280 N Oracle Rd,,Tucson,AZ,85705,Visits cannot be scheduled online right now.
181,181,DEACTIVATED Tucson - Calle Santa Cruz,5369 S Calle Santa Cruz ,,Tucson,AZ,85706,Visits cannot be scheduled online right now.
182,182,DEACTIVATED Tucson - Park Ave,501 N Park Ave,,Tucson,AZ,85719,Visits cannot be scheduled online right now.
183,183,DEACTIVATED Florence – Casa Grande,1683 E Florence Blvd ,,Casa Grande,AZ,85122,Visits cannot be scheduled online right now.
184,184,,,,,,,
185,185,Galveston,2808 61st St #200,,Galveston,TX,77551,281-886-8964
186,186,Alvin,3128 Hwy 35 South,,Alvin,TX,77511,281-886-8964
187,187,Texas City/La Marque,2600 FM 1764 #190,,La Marque,TX,77568,281-886-8964
188,188,Velocity Urgent Care - New Town,"4374 New Town Avenue, Suite 100 ",,Williamsburg,VA,23188,757-772-6124
189,189,"Valley Immediate Care Derm, Laser, and Aesthetics","235 E. Barnett Rd, Suite 106 in Medford","1401 Siskiyou Blvd, Suite 1 in Ashland",,,,541-773-4029
190,190,DEACTIVATED  Urgent Care Now of Manahawkin,712 E Bay Ave,Suite 22B,Manahawkin,NJ,08050,Visits cannot be scheduled online right now.
191,191,Doctors Care - Ridgeview,4621 Hard Scrabble Road,,Columbia,SC,29229,803-736-8955
192,192,Ben Maddox,"1110 S Ben Maddox Way, Suite B",,Visalia,CA,93292,Due the the increasing volumes of patients from the active flu season we are currently not offering the Quick Pass Service.  We apologize for any inconvenience this may cause and appreciate you're understanding.
193,193,North Center,3909 N. Western Ave.,,Chicago,IL,60618,773-739-9200
194,194,Old Town,121 W. North Ave.,,Chicago,IL,60610,312-643-5606
195,195,Clybourn,2077 N. Clybourn Ave.,,Chicago,IL,60614,773-886-1500
196,196,Demo Marque Urgent Care,"26831 Aliso Creek Road, Suite 200",,Aliso Viejo,CA,92656,Visits cannot be scheduled online right now.
197,197,Doctors Care - Forest Acres,4500 Forest Dr,,Columbia,SC,29206,"If you are seeing this message during normal center hours, online scheduling is temporarily at capacity.However walk-in services are always available while the center is open. "
198,198,Doctors Care - City of Columbia,2012 Harden Street,Suite 112,Columbia,SC,29204,Visits cannot be scheduled online right now.
199,199,Doctors Care - Augusta Road,2836 Augusta Road,,West Columbia,SC,29170,803-939-0545
200,200,DEACTIVATED Doctors Care - Cayce,977 Knox Abbott Dr,,Cayce,SC,29033,"If you are seeing this message during normal center hours, online scheduling is temporarily at capacity.However walk-in services are always available while the center is open. "
201,201,Doctors Care - Newberry,1411 Wilson Rd,,Newberry,SC,29108,803-276-2186
202,202,Doctors Care - Seven Oaks,100 Jimmy Love Ln,,Columbia,SC,29212,803-772-5030
203,203,Doctors Care - Lexington West,815 Highway 378 West,,Lexington,SC,29072,803-359-5533
204,204,Doctors Care - Hope Ferry,5224 Sunset Blvd.,,Lexington,SC,29072,803-796-4251
205,205,Doctors Care - Shandon,2601 Rosewood Drive,,Columbia,SC,29205,"If you are seeing this message during normal center hours, online scheduling is temporarily at capacity.However walk-in services are always available while the center is open. "
206,206,Doctors Care - Columbia East,7653 Garners Ferry Road,,Columbia,SC,29209,"If you are seeing this message during normal center hours, online scheduling is temporarily at capacity.However walk-in services are always available while the center is open. "
207,207,Doctors Care - Orangeburg,1748 St Matthews Rd,,Orangeburg,SC,29118,803-536-0613
208,208,Doctors Care - Sumter,2475 Broad Street,,Sumter,SC,29150,803-778-6555
209,209,Doctors Care - Northeast,10040 Two Notch Rd,,Columbia,SC,29223,803-788-1153
210,210,Doctors Care - Wateree (DEACTIVATED),1060 Highway 1 South,,Lugoff,SC,29078,Visits cannot be scheduled online right now.
211,211,Doctors Care - Rock Hill,2177 Cherry Road,,Rock Hill,SC,29732,803-325-8283
212,212,Doctors Care - Hoffmeyer Road,2410 Hoffmeyer Rd,,Florence,SC,29501,843-662-8182
213,213,Doctors Care - South Irby,2200 South Irby St,,Florence,SC,29505,843-662-9945
214,214,Doctors Care - Red Bank,1847 South Lake Drive,,Lexington,SC,29073,803-356-8998
215,215,Children's of Atlanta Sandbox,1600 Tullie Circle,,Atlanta,GA,30329,404-785-KIDS (5437)
216,216,Express Care - Lewiston,2315 8th St,,Lewiston,ID,83501,208-746-1383
217,217,DEACTIVATED Express Care - Clarkston,808 Port Dr,,Clarkston,WA,99403,Visits cannot be scheduled online right now.
218,218,AFC Urgent Care - Natick,945 Worcester St,,Natick,MA,01760,508-650-6208
219,219,AFC Urgent Care - Marlborough,38 Boston Post Road West,,Marlborough,MA,01752,508-658-0764
220,220,Doctors Care - Greer,230 Wade Hampton Blvd,,Greer,SC,29650,864-968-9144
221,221,Doctors Care - Greenville (DEACTIVATED),4200 E North St,,Greenville,SC,29615,Visits cannot be scheduled online right now.
222,222,Doctors Care - Congaree,701 Congaree Road,,Greenville,SC,29607,864-458-7289
223,223,Doctors Care - Simpsonville,35 Ray E Talley Ct,,Simpsonville,SC,29680,864-967-7028
224,224,Doctors Care - Easley,832 Powdersville Road,,Easley,SC,29642,864-859-3899
225,225,Doctors Care - Berea,6704 White Horse Road,,Greenville,SC,29611,864-294-1392
226,226,Doctors Care - Hillcrest,1762 East Main Street,,Spartanburg,SC,29307,864-591-2261
227,227,Doctors Care - East Blackstock,218 E Blackstock Road,,Spartanburg,SC,29301,864-576-8646
228,228,Doctors Care - Anderson,2126 North Hwy 81,,Anderson,SC,29621,864-226-2660
229,229,Doctors Care - Greenwood,516 Montague Avenue,,Greenwood,SC,29649,864-223-1468
230,230,Doctors Care - Knoxville (DEACTIVATED),101 Glenleigh Court,,Knoxville,TN,37934,Visits cannot be scheduled online right now.
231,231,DEACTIVATED Family Medicine - Reynolda,3020 Bonbrook Dr,,Winston-Salem,NC,27106,Visits cannot be scheduled online right now.
232,232,DEACTIVATED The Emergency Clinic at La Vernia,202 S. FM 1346 Suite 2,,La Vernia,TX,78121,Visits cannot be scheduled online right now.
233,233,DEACTIVATED Advance Medical of Naples,720 Goodlette Rd N,,Naples,FL,34102,Visits cannot be scheduled online right now.
234,234,DEACTIVATED Lombard,2395 Lombard St,,San Francisco,CA,94123,Visits cannot be scheduled online right now.
235,235,Wentworth Health Partners Prompt Care,"10 Members Way, Suite 200",Wentworth-Douglass Professional Center,Dover,NH,03820,603-609-6930
236,236,Doctors Care - Beaufort,1510 S Ribaut Rd. ,,Port Royal,SC,29935,843-770-0676
237,237,Doctors Care - Bluffton,64 Bluffton Rd. ,,Bluffton,SC,29910,843-757-0676
238,238,Doctors Care - Hilton Head,845 William Hilton Parkway,,Hilton Head,SC,29928,843-341-2416
239,239,Doctors Care - James Island,743 Folly Rd.,,Charleston,SC,29412,843-762-2360
240,240,Doctors Care - Charleston West,3424 Shelby Ray Ct. ,,Charleston,SC,29414,843-402-6834
241,241,Doctors Care - West Ashley,1851 Sam Rittenburg Blvd. ,,Charleston,SC,29407,843-556-5585
242,242,Doctors Care - Summerville,410 N. Main St. ,,Summerville,SC,29483,843-871-3277
243,243,Doctors Care - Dorchester Road,10160 Dorchester Rd,,Summerville,SC,29485,843-871-7900
244,244,Doctors Care - Northwoods,8091 Rivers Ave.,,North Charleston,SC,29406,843-572-7000
245,245,Doctors Care - Mount Pleasant,631 Johnnie Dodds Blvd,,Mt. Pleasant,SC,29464,843-881-0815
246,246,Doctors Care - Ivy Hall,3074 Highway 17 North,,Mt. Pleasant,SC,29466,843-884-6424
247,247,Doctors Care - Moncks Corner,459 Highway 52 North,,Moncks Corner,SC,29461,843-899-3870
